personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,organization,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,planning,spontaneity,adventurousness,reading_habit,sports_interest,online_social_usage,travel_desire,gadget_usage,work_style_collaborative,decision_speed,stress_handling
Introvert,2.3935826336818815,8.628621518846073,2.812285375946932,4.890210395435425,5.521146864789256,2.3858721060245074,8.536420792355134,8.845097580873215,7.622576781522848,6.569745829460062,4.960081955884911,3.9034978978329855,3.266635505084622,4.100336695387446,7.109424265016486,3.8236155921165986,6.313473924466651,4.822741249036188,10.0,4.0305067365934875,3.0202351146311948,8.130268062856702,4.656737165860789,5.848730490105687,4.2675484020655965,4.208451676178816,4.639972300308286,6.21371752425324,6.335399576093771
Ambivert,4.27489310220265,5.573432536685852,3.9644347029855402,5.5275869617949525,4.484539102324076,4.5223802887802185,7.243165414347123,5.877028871379533,6.310958507100986,7.311020264899774,6.503283612265733,6.546892829047457,3.027847441891169,4.92428791371028,4.95644099103642,8.375367316737977,9.054989209117052,4.737668259404036,6.269713834197644,5.7837765270340356,5.279778305536938,5.416874497302569,4.40438585468739,4.5134376538622085,6.845008933210472,6.417490175036427,4.6132770516961665,6.3859544593848545,6.753257379590329
Ambivert,6.585995548602856,6.171241504385873,4.790552921159174,5.6337427979928405,5.1880815698412475,5.408252171927327,7.175952808721422,6.807985417147558,6.978030612215199,6.1381674607019265,5.189249220152287,6.880211511373426,6.829621254957711,6.302016264277221,5.902020049324525,4.654049501457571,6.378723129403194,2.8419195553525527,3.5629149138962495,6.408237961253808,6.445787517872741,6.655714771501192,5.604743387380765,8.810815949157545,7.209202180711413,6.8833447478068726,6.058698704443854,5.82827850705733,5.143465135527536
Introvert,2.570547895658719,8.663577084911841,1.0819821509931185,8.613609462497227,4.517437623571625,1.4872067951438637,9.223207776993618,5.462308152847962,7.628833079993104,7.193087657058638,6.852241908360009,1.2781918841923363,0.08134054223336928,7.176709724988311,5.885330758506105,1.8064204906150685,8.139629550658427,5.800913226376635,6.67296715579278,1.264546886624017,2.9115414249472935,6.96395450567576,4.807967273849728,5.015556273193857,3.2089954654156037,3.956300769309109,3.614360423051591,3.32728594391253,3.1948372012118083
Introvert,0.8450223117311313,7.730490434425356,2.3421083109217387,8.477778026924327,3.446393753040124,1.3747472552226014,5.835098582455629,8.415482148750652,6.67337764711683,3.703936515622327,4.383813049669519,2.0561954880124707,1.221117289386303,5.026242656462246,4.8152120827136775,3.190788968310455,5.28996287351948,6.993606243787229,7.77758504321202,3.119079837318218,6.102262443149564,7.562421848655152,6.4514686784891,7.706551053458529,5.3802385476637005,5.435074483988408,2.0203599999952706,4.836670060990943,5.911367155052463
Introvert,3.826590186323899,7.822495482618019,1.5509525147524061,7.632254985182924,2.5830181655190376,1.7483001043929696,9.401769785613311,7.341441396466037,2.8330471774277646,5.774662168172901,5.405519406092637,3.9782592057559323,5.1363454864748155,8.44306188325451,7.266767999096915,3.7628029025349736,5.560378984001489,4.760109134545726,5.907948138774604,6.107744546072856,6.102050784749988,5.890253125359854,3.0563902137377696,6.928315039171387,5.699750179538356,8.659714567434424,2.298757365076817,2.878266641264526,2.7121233520173993
Introvert,1.1916264734643671,8.752406732482042,3.516935930324549,6.298813363856375,2.5785755463580755,2.2644866986856838,6.179017302311411,10.0,4.702426034478821,6.694343281304284,5.949820872140841,2.2049285130367453,4.249533885755997,6.006173080792478,5.459076009854414,4.686490070611448,6.097698267797767,5.545819738311351,6.094221228314871,4.094357799490346,0.0,6.152267621735962,3.6779936575394743,6.395358540645279,3.7297630573963163,5.903422063749798,3.642444454848021,3.826368436832629,6.480406718894413
Extrovert,6.270109740987111,6.6689083960111875,9.353630249560462,4.721667498384774,9.800145989219565,8.667545211700258,4.425072253119016,5.910942863463018,8.066461079641982,7.666263884821358,8.331285228476677,8.002749524491497,4.780266897208302,6.917807937416315,7.5799797549248025,6.650131648376595,8.934121885431825,4.603702587802086,5.9173890327876215,8.061176618647634,6.439244819782509,5.396739576856961,7.541199711293652,8.992330129780543,7.107110842667076,7.635532781526528,5.521067461993627,7.143257281805204,4.43905504272539
Extrovert,9.788909307465975,1.516303279596626,8.613118086774035,5.306738407718932,7.1979445730849205,6.417227667613377,4.725790786147234,4.824244394165312,6.575491867393413,7.646116928132974,10.0,7.440925866497815,5.099868441524954,6.233794963670528,3.1271493740071827,6.541110182617964,8.595616417090971,6.222928215539276,6.01727645545224,7.429955121765249,7.010322004583916,3.1792117080234963,6.159280887166212,8.42672940803197,7.302235594979424,8.270874147375938,7.8274926252002865,8.325923226294446,4.76289176226963
Introvert,1.2054901511846823,8.06262723198419,6.896617923153671,8.496241531687902,2.197022058559508,1.742313486734425,7.695116734156525,7.19843898236888,7.167603611754674,5.334152254636882,3.534553526107734,5.217760672436968,4.006111676998691,6.515318508516609,6.426625031823667,1.3907407454690008,5.7534128941749065,5.056538973291578,6.799472173986276,3.8219599274272307,5.731603551557517,9.923801729331954,4.252245276568788,5.971727532407715,4.1529434431814805,4.877316738737475,4.807265402879292,4.245058317365444,5.996069407750573
Extrovert,4.525332714608764,1.2064374791639403,9.40829570117091,3.6708080766014106,7.622093214830678,8.046307284180385,4.424872163648647,5.059576960757244,5.812815659654314,3.1537213091009235,8.266999106977517,9.162288700605632,8.035521780193552,4.5227754666105575,5.3776344513786976,7.1840837047070965,9.185328557464578,7.2489875429002035,1.9058915656627184,5.989929203023207,6.350718716492463,4.4086022049902445,4.737546509216249,8.360213972530568,6.013281572544313,4.131034221117682,9.16519036483652,6.788004227064721,6.075863817313536
Introvert,3.9342922274422434,7.968631475663133,4.352024676405363,7.444341239387744,3.781085786314907,1.9111503277614423,7.730047936866087,8.973542506241431,8.582819788420524,9.522636966095396,5.803190735071344,5.144701389028299,2.1682727360077623,6.894189341766444,10.0,4.343755117272898,6.9115208713184675,7.077587797893427,8.00694325403965,2.487046581313554,3.664983162516329,7.9079427669352915,1.790576568000219,3.5605543329933047,4.1200707293108865,6.33940262565331,7.921952450884694,2.918752376537768,9.332412721850417
Introvert,2.5442048557783044,6.988908644518439,2.8768461149644318,6.623401264417942,4.86191364332098,0.0,8.24040426959045,2.364196251269428,8.596513345640837,8.676010289115212,6.052874235221432,3.106985019400222,4.153753828377697,5.288980107978962,7.506847987998939,3.121075343965568,6.351527340678962,6.3513841333106,6.681245870291285,4.116051574243732,4.987213128426834,7.305715594445184,5.759116711954153,4.403999141974401,4.105346418214759,3.7786268935639713,7.58931715237958,3.171653874315264,5.331478359709825
Extrovert,7.673517318292825,2.8201403834217595,7.539713655327843,4.372605804426692,6.07370796944779,7.783771043555896,7.893054331230248,6.381290900585642,6.926258786517831,4.2894940327288875,8.504127552616323,6.762860971974815,7.829767995711283,5.615942939696656,4.314119510271217,7.169559597454303,7.3993754952587185,7.212752930397691,3.779522473738373,7.4847009078173805,7.706576515128862,3.4839854696029535,6.185422485559246,7.399958549577904,6.694759872432299,8.78377608778461,9.72090077433561,8.126261710994456,6.4223072241553325
Extrovert,7.5282494099747,3.2329655009217877,9.909661347546322,4.287558898721522,10.0,7.369011298742305,4.80130500863608,6.495424134067855,6.153793967874361,4.5000282349762175,7.326337518830283,6.876047209228451,6.215444088037838,7.452443184959813,4.245003743458302,8.649531452346414,5.803731654143283,6.371752428676809,5.21076384714542,7.772122158763253,5.925782227633043,4.2839059482485125,8.571012386261517,10.0,9.81661513435849,6.115133336944702,10.0,6.4312524028272255,9.733782734626578
Ambivert,5.84750490852809,4.765913331364058,5.120455065463823,7.254314004663389,5.187526454979021,3.7184032194803813,8.0590626809227,5.206427222195098,5.676703444265015,4.2839066982035785,4.912984033994114,3.307151083616363,4.056956633243238,5.562006705666924,8.056864591859735,5.968170354834266,7.13210546120488,7.891375140387182,5.2833947771607335,6.6864266871770095,6.768439518572897,6.43501142536145,2.673023780698888,8.476422362826304,6.026967177051543,3.467134382561697,5.281712864751404,4.522370740478946,4.388762428161153
Introvert,1.8709211371453982,5.324361985718927,3.052381858902269,7.06562354433225,6.590416131055337,2.891875844715333,7.070413686883036,8.604274304917352,5.866282825419752,5.178935590605308,0.8636336605884409,2.479241355660303,3.760609671165003,6.1338050744199,6.303592270049411,0.843115810220886,5.870699298741864,5.5248144311886955,9.147053220870312,4.006663327956903,0.8498983454803715,9.242252576498835,5.902750755919634,2.2816331415821436,5.223648996875657,7.644816555272774,4.32803129366245,2.8572420178176503,6.51929051582642
Extrovert,10.0,5.13830351572921,7.741724349576387,4.178806720601352,8.304485531386986,9.246710854863418,5.667916660593642,7.022070408398171,6.021319062523237,2.592787212499849,7.257527880161571,8.049639364340385,8.685818199849772,5.987350748045223,4.216476846967476,6.583320912338679,8.866129683342596,6.758699358298872,3.699882730435757,6.562185105320752,5.054877575485623,1.9216477813481805,5.10733664899393,6.976930392422762,6.533507797758269,8.809590832586661,6.138926922063944,4.730245528530727,4.122127553837361
Extrovert,5.785654279535903,4.258915469698964,8.809936976844137,2.0258507312750873,8.850864431585405,8.47350369454638,6.510991246876912,6.4091030127421975,7.208221778563632,4.7965116907423075,7.124274813179402,6.26279200582942,8.317178343934678,6.9626407880376595,1.7550664770483824,10.0,6.465514544987091,5.769867733809604,6.169719807333792,6.686487815308709,4.1311796149719715,4.777683381019245,3.887283378694435,5.3710095847323664,8.45663758390958,6.415249884027453,6.582911455368539,9.028101892848493,5.718598775068704
Introvert,3.6673123750156846,7.804161156633703,4.337291963682621,7.490811498160365,5.239359274798827,0.24492928118670854,9.385574723988219,4.143278969979753,6.496878926201927,6.37430013682167,1.9651479780429182,2.9080535654464637,1.7228962804867698,3.6578474231256197,7.498909712112056,4.602968236250695,4.986127703955917,6.521654776151992,7.9709111312481005,2.615491060439952,2.802050805802462,6.358281324117683,4.025732549823379,5.317566258668464,2.2108779254989672,2.596653518785459,7.149123258337732,1.0481241404177846,2.176761707565885
Extrovert,8.963181505814877,1.6579005026841576,9.59649132747386,3.1573642254676733,7.378401693356811,6.519851864481762,6.43735318429465,4.422795271343749,3.726474276656188,1.9403247675107407,5.80462719616775,4.490025550525842,8.45299345035428,5.4921829654057905,4.85916894310424,9.234997963554958,5.544060076833765,5.21357968520042,1.47552098482186,9.526671372516512,6.657390491847032,3.9403616671578208,7.415100328680602,10.0,7.370603577573254,8.293862486141904,5.633264822407886,10.0,4.939731444874687
Introvert,1.860522358749933,8.127536885424542,2.5443715929550548,9.586453969433675,1.9651932132517382,4.0436070641348305,7.910266161877148,9.932259186302135,7.231401435775153,6.452234884057507,4.441973933107046,4.56533874411959,2.7042425422207317,4.218582954055574,6.4628252962718395,3.914141126990413,7.298924869051235,5.234155886299822,8.66043612471271,5.056837340331214,2.6668646203221917,5.656889472499205,6.057700295339912,5.227251114590256,4.7413708685973885,5.18278599287166,8.873270972945654,3.539027474678246,3.6065123705980167
Introvert,1.4643983320832725,8.541483237562112,3.273239785904015,10.0,5.075924299746398,3.9531809769529724,7.116036822463155,7.006323113275693,4.82041719003989,6.563506974264173,4.232516758857565,4.171405219241633,0.8049331391743255,7.370351021182539,8.312877493696798,2.0582713785785574,7.8753326188290895,2.5078205470870887,5.785397395570767,3.3608378290178846,3.443217775187688,10.0,3.052940196402697,4.17188657957382,3.125454819509505,3.5737320066486924,5.022316594197899,4.8112793298569105,6.436775874416432
Ambivert,7.025761321255235,6.655017723639412,5.997048867098968,4.2354720914190995,9.254473385184614,5.931176695300703,5.430865787698793,8.617003863227286,4.3893856056416345,7.379954657331903,7.082695032689556,7.766423817712795,2.854570696833784,6.664553207342384,2.676887604436044,4.0230378462311265,7.022255856282653,6.098738492679885,5.009232828377706,3.026116556559739,5.4690814870028595,7.713605377866456,4.241768713528904,4.952428372381123,5.575213361859032,6.91385375128479,8.333397386541623,3.2393149136823496,9.019720000245007
Ambivert,4.013708868974928,6.793333246601179,7.696303920493195,7.3615117370124965,6.016073609895474,3.607753542091831,10.0,4.344683993385492,6.057038742454343,6.446457365621409,2.754898744686125,6.357329891598679,4.183143269893375,7.885404844720366,6.718105212285662,0.26028496149006664,7.263501956378863,7.368672400097272,7.627159550564377,8.222645495776643,5.779265955219375,5.460551856149013,6.98847231636186,5.329179563177901,4.3029044902071325,4.7095453714660085,6.59148286055927,5.505065183932028,5.788094454426773
Ambivert,4.590004088874149,7.076014457967769,2.820773479457743,7.020838028877012,6.085041508409556,6.030791025339645,7.3166634497219425,5.02563406060132,8.813375824606432,4.0696374652896505,3.5078233191672616,6.112356640850709,6.093673583501406,5.618900717367436,6.424923149136141,5.815591201666722,4.211019432357577,6.393487981691973,3.7332170003660434,5.81090608405965,3.739274036372999,5.448799067588196,5.0155942281997214,5.42306489335572,3.754476022723355,6.284125559093464,6.593180914472095,3.5688469034944843,4.986477625774615
Introvert,4.330963443689619,5.388710465757531,3.0171681793319767,7.176487945307793,4.499719595044386,3.9949753575896554,9.859720229821356,6.278792456516535,8.301779686873543,8.365760683129437,6.627365303589404,3.066949726824644,5.407075687776477,6.624077095608482,5.093026083784455,4.659981982092887,5.140200102492091,7.3907941629201535,4.288215717441396,5.297661538401492,2.9300309586580133,9.641189389053702,2.8183855464196945,6.083156892279249,2.861382862122885,9.071682355217717,7.457180312422185,3.8349571561117255,5.547571694648916
Introvert,3.0521118503085365,7.5430351789682835,2.035397011516074,6.872361779859714,1.8096696951923552,5.331560059935976,8.295579055556962,7.495186875523755,7.759966215052321,4.951004769304559,5.92881357619782,0.5765952975317008,1.5153350299414503,4.923055305345425,7.213430468681068,0.8765306851126464,6.396542058156945,7.184717820501588,6.067880668342146,4.89631684414196,2.272273344957738,9.545720477686434,3.710158794836839,4.389680255211978,5.048862647940714,4.089176819132273,5.96034694652312,6.403386794269874,5.477649226650765
Ambivert,2.804284498556343,6.989651230917441,4.70120718832803,4.853353684402077,7.764812290933347,3.4120108065282357,4.693003784647203,8.00945224452004,3.8002042550603004,5.731245138436243,4.406898115642185,2.067592770114895,4.381832015383361,6.391647892994296,5.834646530212874,3.081672039579429,8.38217411884621,5.201229721942033,4.603208626984253,4.835692643709294,2.792602783969223,6.821806355617234,8.712345255523728,7.791118066372573,8.974215705493371,6.748071373501542,9.099253108809254,5.948461143408567,4.5841468964963825
Extrovert,10.0,1.614552446043053,6.724265400964079,3.4339199599689216,6.137625060762787,10.0,8.452953040890167,5.2254805668735465,7.131960399256371,3.6619812623487045,6.875300177619072,9.693071796669155,9.065258100087306,7.732494241647257,3.735536455259977,6.949165768045958,7.617271540784278,7.1852733490034835,5.315718586140725,7.813860018063407,8.925769940498496,5.584957426835136,9.620684160615122,6.716143086190631,7.524722402985995,7.278657323942076,7.497812782914208,6.148943597661885,4.7805053329700735
Introvert,2.2049838618300512,9.82890136577251,3.8086819267093444,7.461816958312036,6.24350524501218,0.0,6.391263171639375,9.72385079584668,5.46464845784359,8.842493907557808,5.453907198768568,3.828691473951661,2.0475871774017014,5.533159510960584,6.421540237307014,3.3926936744361105,7.006703948665317,6.44536224158338,4.899398658696116,2.949030188452879,4.023967193773647,8.70332445228388,2.0096945844422596,5.357296465450115,3.092115862581385,3.506722903543765,6.6713988896771514,3.2960910550603657,7.982054283410423
Extrovert,7.395864065140374,5.715566422707413,4.323894608591088,3.7707377891425935,8.391844985604028,10.0,6.533389944902733,6.8690296532109345,5.189710039281076,3.4994225323372263,7.939576465958848,6.786843700114955,7.136264122831312,4.398317960989041,5.157952836670307,6.747712141444104,9.60871062454833,4.863475034882457,3.7205502185266806,6.711429791105798,6.152730635610799,4.894057411340506,6.339249206473971,8.049465643971933,7.417727378926781,7.791220979786885,7.546855212037612,8.388025821968725,6.89318753022005
Introvert,3.383676378489548,9.786881479188741,2.79231667574015,7.235075678169651,5.91961173914101,1.3033824086684551,2.9695099845460673,6.4310951565187695,4.378007894570016,3.5795077681797265,1.6674516183614831,0.930286879197793,3.705804483642572,6.2130939754498,6.982054268887402,3.7819317980049902,4.980468213502817,5.833691521714594,5.648688150692495,4.891030232590122,2.227734985031848,7.160861731298853,6.104805974167583,3.2061515278055337,0.2887594378643117,2.9855671868672946,4.43766252043136,4.224944157128475,9.078875421692231
Ambivert,6.437615195506109,6.492385610654822,2.7676850382646716,7.208941754224111,3.323439348253049,6.004293273296104,8.313955481962898,6.480578112960131,2.553525790940684,8.058157100103177,3.932719085535329,5.938021241883952,5.237923961483944,8.008164328182414,7.507549754111148,1.2502734333819419,8.096769035714221,4.689427051366937,8.639783335902845,6.035567501450163,6.862411600739933,4.270012457087105,6.5162393426363,7.449622047455772,6.621762373249187,7.0984389404109525,4.857868853391762,6.843285624217763,8.888358587733773
Introvert,5.9416564369372,7.328740658955727,1.9612401363546685,8.763181096162224,5.318113006959889,0.32340396342027855,8.295474429118247,6.887926899045407,6.642040086760613,5.836439947722108,2.871643191717699,4.316493444892795,1.8409862489604178,4.8721625150932475,9.247256392467339,2.786434020526468,3.7929345295427215,8.17234571591673,5.3711383423188686,5.7641271910511005,0.0,8.457173512179937,2.204824274423178,4.569638045081535,3.9966005465955385,5.210743391437173,5.23442491201368,2.439415868195735,5.77076592126036
Extrovert,5.509897775891456,3.4224522056218083,7.679385099956324,3.7401510443598074,8.28340567512033,9.627601092249293,5.091368440426234,6.0078313705351425,5.944531684893487,4.998077335304242,6.160265344888961,8.449816608433677,7.292088130625713,7.3743868216615285,5.311454527016027,4.442456526353736,8.02409483068079,10.0,5.705007233392337,6.931543850084745,7.064363221097527,5.376738735844179,7.364826139512967,6.543091189468587,7.594281709720743,3.4145797305807135,7.037477227893851,5.982464885443771,5.382551208501708
Introvert,4.238928313388919,5.980858026919065,2.3915373867741714,7.190840766583264,3.6250374665546388,0.6790925370332113,9.509920953047084,6.036383040980733,6.057198874483298,6.871397946788344,4.887295677331117,4.3214927549255115,2.309791610744164,5.006007122970851,8.376212226618252,2.7736243723616854,8.57233985601074,5.593935381453192,3.8443053576160966,2.0000955483437433,1.2134671063647362,9.716822533634593,4.394812374113136,6.533152693338776,5.49557780159147,6.361709653616708,4.113839481805272,3.062636584228576,7.734764419127668
Extrovert,9.114514541075115,1.8283340031123658,9.021722092497317,3.1507950458569436,9.719967036461721,6.642588882367109,5.9003096286220735,5.420270355425237,5.736121541055541,3.2460591364343077,7.772386442248366,8.794643515233156,7.509015918949621,6.903060504538598,1.7631531483331653,6.70917753456971,7.479915190731718,6.66268052019934,5.050477686646066,6.500185446694626,9.260813411445456,4.100241901715311,8.846494094225951,8.500932012372873,5.150846851750755,8.240787484337565,5.242843868717133,7.380723696175923,5.560254112757234
Extrovert,7.794252633688825,1.9337947762327943,9.874497655335718,4.6581271741149095,9.166749686238372,9.89620421565944,5.518462852326382,5.490105468663887,5.83522278082601,5.832840652741378,8.791394712933998,6.649582019435803,10.0,7.406466354612228,3.8028479885745967,6.421995502350239,6.481406606638759,6.20276975971313,5.697770922121841,7.189819022631468,6.262832962809407,0.9763770294169349,8.554433484050342,5.760351072862136,5.549308074747733,5.500113519557767,9.240522853268661,6.888871702162083,4.191718559638705
Introvert,4.180910542224334,8.09295886094892,5.937239235594736,8.084262516806124,4.266676608508959,0.0,8.809460474716639,6.390108864883619,6.041566445225871,6.8937932386577865,3.763742628049753,2.1533804357263175,2.2033301736473203,7.375914396801296,5.382565926904135,2.057295155400706,6.408293207518948,7.362597335299915,8.970699041848373,3.4530844249621113,3.0398035477543948,7.528096847160884,3.0822392529083125,4.303800199307753,3.12011822145928,6.903402726427277,6.93250155641606,2.6277275914636586,4.346556048553751
Ambivert,6.90141102645482,4.911734101857563,5.488727778417218,6.298121749135778,2.752666218536402,3.83541452097474,5.951278835292377,6.800389067879941,6.104165928895081,5.540258823058011,5.43083773971357,5.448849065305041,6.972360611271313,5.818696365475957,5.223847702875838,6.214501298823932,6.33423535756774,3.2137512633787333,7.753304666728881,1.5003341332210738,3.012558973521311,5.26593235497505,4.995527880659527,3.7063614946276595,7.3276627280531965,5.114672317095291,4.480127748029059,5.383638874969906,6.4647731722451605
Ambivert,3.4270558225194936,5.892399934930096,7.241626966635261,7.28759354060017,5.519140070916283,7.141308848252374,5.935438437879792,7.018841286859191,8.910705390175876,5.514098244058544,5.731762903517394,3.8762831619334444,1.9515035421574307,6.35866721390057,7.043094299354879,4.493632051121579,6.901853233693058,7.658042026827629,4.99172563799606,6.652199453821538,2.009335278050375,5.868213315440679,6.294326874132946,4.345273858261535,5.849712431659839,7.043126774965081,6.764268246890879,5.334687306837765,5.3847766509573844
Ambivert,8.124649758821246,6.816740237315887,7.6959203223117365,5.91852091329876,7.359397478101,5.574154502171695,7.2498829366771105,6.960262642768882,6.270038607596206,3.2546615468422484,5.485272065107789,5.408412834135924,4.65885799111266,5.477849139008502,6.378680049799632,4.334634944122408,6.959408005407594,7.292882009009103,3.6166842885744876,4.5160516565244615,3.0434768695094623,6.314522644396823,5.727631391798272,4.71920211195123,5.31405146815091,4.993205125044313,7.682297919275735,4.655526187095089,4.526498945403118
Ambivert,3.161856620292787,4.435408685693107,4.785602850270375,8.055262651086343,5.060564378749056,6.006978252483248,6.382910840565726,7.047232388733192,6.388398866617999,6.186496889177258,4.537949861750285,2.750677898987253,5.433714476071002,4.451276628275586,9.476295073355764,6.7463559306182646,6.2135398800500905,4.319636316794521,5.337149524555042,5.113570491636872,5.304880007340866,4.820915926817122,6.895820413899899,7.7582212534798,5.61948425397654,7.812745037247963,7.98583836899433,5.157503791564917,7.230117832128794
Extrovert,6.29702557814184,3.2229016394055767,9.84964004406744,0.996396544391617,8.455453883632007,7.253215242096514,7.288100816817078,5.731639314115124,4.6804502357596744,6.005821151564613,6.742167538755782,6.881853468886329,8.790666733378295,5.130685281365899,3.190977141164993,4.88244857539028,8.402400991909655,4.405518260562427,6.566642619436196,5.263452227537429,5.675415253537494,5.082449246255976,5.342409499807694,7.814224739815945,8.018901419206701,9.375725019276642,8.908977693807993,5.429682425685945,7.413838166856151
Ambivert,5.1073184895638555,4.876046515273095,2.2364710662685536,4.027307364880962,6.976612127949835,2.977262370906746,8.430575949607055,6.201994819356091,7.065122942582549,4.5540895305579845,8.920556647304302,6.170408219768105,6.293034799848513,8.498119630080932,5.7851399932325105,4.983233145883143,6.612981902262452,4.689472303727403,7.230218983067656,6.281148365259962,5.339578902301718,5.725429785901574,5.501613008988105,6.236360039148181,5.837771014486428,7.189486958728942,6.542372043565183,4.628754951279183,4.79165012255038
